uniq_obs_int_id	sample_sdi	n	n_mmdbs	n_nr_mmdbs	cdds	sfs_ids	cdds_B	sfs_ids_B	single	self_lca	lca_level	lca_tax	lca_name	lca_depth
593895	(669389, 4)	1	1	1	NiFe_hyd_SSU_C	258857	NiFeSe_Hases	271913	1	1	no rank	381666	Ralstonia eutropha H16	10
629306	(459491, 2)	8	4	1	P53_tetramer	254376			0	1	species	9606	Homo sapiens	32
48716	(216181, 1)	1	1	1	Ribosomal_S18	260389	Ribosomal_S6	260412	1	1	species	274	Thermus thermophilus	9
95508	(566255, 5)	2	1	1	F1-ATPase_gamma	260384	F1-ATPase_beta,F1_ATPase_alpha	271875	0	1	species	9913	Bos taurus	30
633730	(480234, 8)	29	8	4	DnaB_C	271875			0	0	no rank	1	root	2
573072	(529149, 4)	1	1	1	Pico_P1A	251169	rhv_like	265416	1	1	no rank	12072	Coxsackievirus B3	9
573073	(529149, 2)	2	1	1	Pico_P1A	251169			0	1	no rank	12072	Coxsackievirus B3	9
573074	(529149, 1)	2	1	1	Pico_P1A	251169			0	1	no rank	12072	Coxsackievirus B3	9
573081	(529150, 2)	2	1	1	SnoaL_4	271650			0	1	no rank	479435	Kribbella flavida DSM 17836	12
625320	(679296, 1)	4	1	1	DUF4298	258346			0	1	species	1314	Streptococcus pyogenes	9
95514	(566255, 6)	1	1	1	F1-ATPase_gamma	260384	F1-ATPase_beta	271875	1	1	species	9913	Bos taurus	30
318144	(109898, 4)	6	2	2	RNase_H,RNase_HI_prokaryote_like	271754			0	0	no rank	1	root	2
48814	(473694, 1)	1	1	1	Pico_P1A	251169	rhv_like	265416	1	1	no rank	12131	Human rhinovirus B14	9
95521	(566255, 2)	1	1	1	F1-ATPase_gamma	260384	IATP	252676	1	1	species	9913	Bos taurus	30
573135	(612872, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
573136	(612873, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
573137	(612873, 2)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
573138	(612875, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
573139	(612874, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
573140	(612875, 2)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
276650	(397480, 3)	7	7	1	renin_like	271711			0	1	species	9606	Homo sapiens	32
573147	(612876, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
573148	(612877, 1)	2	1	1	IlGF_like	261293			0	1	species	9606	Homo sapiens	32
573152	(612879, 1)	2	1	1	IlGF_like	261293			0	1	species	9606	Homo sapiens	32
573151	(612878, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
48880	(47900, 2)	2	1	1	PRK10634	271464			0	1	species	562	Escherichia coli	9
649948	(496783, 2)	30	15	2	OYE_like_FMN	271877			0	0	order	4892	Saccharomycetales	11
510842	(689095, 1)	34	10	3	TA_like	271826			0	0	superkingdom	2	Bacteria	3
525372	(474688, 1)	2	1	1	ING	257449			0	1	species	9606	Homo sapiens	32
525373	(562175, 1)	2	1	1	CBM29_CBM65	259840			0	1	species	29322	[Eubacterium] cellulosolvens	9
48978	(23057, 1)	2	1	1	AAI_SS	271633			0	1	species	4565	Triticum aestivum	22
665039	(719218, 3)	1	1	1	Ribosomal_L13e	261075	PTZ00160	264513	1	1	no rank	559292	Saccharomyces cerevisiae S288c	15
420627	(368680, 1)	3	2	1	SirA	271484	PRK14012	271826	0	1	no rank	155864	Escherichia coli O157:H7 str. EDL933	11
49053	(51477, 1)	2	1	1	EFh	271644			0	1	species	9913	Bos taurus	30
597389	(430188, 2)	4	1	1	AIRC	260343	SAICAR_synt_Ade5	260283	0	1	species	7091	Bombyx mori	31
532465	(618419, 1)	1	1	1	INCENP_ARK-bind	252263	STKc_Aurora-B_like	271873	1	1	species	8355	Xenopus laevis	26
49071	(9404, 5)	2	1	1	ZnMc_adamalysin_II_like	271414			0	1	species	8730	Crotalus atrox	32
573374	(547487, 1)	1	1	1	rpsU	260480	PRK05309	271470	1	1	no rank	83333	Escherichia coli K-12	10
573378	(547483, 1)	1	1	1	rpsR	260389	rpsF	260412	1	1	no rank	83333	Escherichia coli K-12	10
111345	(2843, 1)	6	2	2	Hemagglutinin	249917			0	0	no rank	1	root	2
111347	(33769, 2)	6	2	2	Hemagglutinin	249917			0	0	no rank	1	root	2
357720	(309969, 2)	2	1	1	AdoMet_MTases	271798			0	1	species	9606	Homo sapiens	32
573456	(564621, 4)	1	1	1	NiFe_hyd_SSU_C	258857	PRK10170	271913	1	1	no rank	83333	Escherichia coli K-12	10
573458	(284630, 3)	8	4	2	NiFeSe_Hases,PRK10170	271913			0	0	class	1236	Gammaproteobacteria	5
573460	(86058, 5)	8	4	2	Oxidored_q6	266545	NiFeSe_Hases,PRK10170	271913	0	0	class	1236	Gammaproteobacteria	5
573464	(564628, 5)	1	1	1	NiFe_hyd_SSU_C	258857	PRK10170	271913	1	1	no rank	83333	Escherichia coli K-12	10
573465	(564630, 3)	8	4	2	NiFeSe_Hases,PRK10170	271913	Oxidored_q6	266545	0	0	class	1236	Gammaproteobacteria	5
573467	(564649, 1)	1	1	1	PRK10171	271526	NiFe_hyd_SSU_C	258857	1	1	no rank	83333	Escherichia coli K-12	10
573468	(564628, 3)	1	1	1	NiFe_hyd_SSU_C	258857	PRK10171	271526	1	1	no rank	83333	Escherichia coli K-12	10
573469	(564649, 2)	1	1	1	PRK10171	271526	NiFe_hyd_SSU_C	258857	1	1	no rank	83333	Escherichia coli K-12	10
573470	(452914, 3)	1	1	1	NiFe_hyd_SSU_C	258857	PRK10171	271526	1	1	no rank	83333	Escherichia coli K-12	10
573474	(15584, 1)	8	4	2	NiFe_hyd_SSU_C	258857			0	0	class	1236	Gammaproteobacteria	5
667223	(714112, 1)	10	5	1	Dehalogenase	257810			0	1	species	66821	Sulfurospirillum multivorans	10
8217	(211581, 1)	1	1	1	Thrombin_light	117938	Tryp_SPc	272004	1	1	species	9606	Homo sapiens	32
631374	(643033, 2)	4	3	2	APG5	252377	APG12_C	271428	0	1	species	9606	Homo sapiens	32
631373	(559046, 3)	5	4	3	APG12_C	271428	APG5	252377	0	0	no rank	33154	Opisthokonta	4
511127	(183200, 1)	25	22	5	G_glu_transpept	267576			0	0	no rank	131567	cellular organisms	2
511128	(185417, 3)	25	22	5	G_glu_transpept	267576			0	0	no rank	131567	cellular organisms	2
63177	(59432, 2)	2	1	1	Fib_alpha	149682			0	1	species	9913	Bos taurus	30
573671	(259207, 3)	22	10	1	AAT_like	271826			0	1	species	9606	Homo sapiens	32
573633	(305310, 2)	2	1	1	DUF4251	258287			0	1	no rank	483216	Bacteroides eggerthii DSM 20697	11
573632	(522296, 3)	2	1	1	DUF4251	258287			0	1	no rank	483216	Bacteroides eggerthii DSM 20697	11
544152	(242845, 9)	4	2	2	pepsin_like,pepsin_retropepsin_like	271711			0	0	superkingdom	2759	Eukaryota	3
49368	(53547, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49369	(53548, 1)	2	1	1	IlGF_like	261293			0	1	species	9606	Homo sapiens	32
49373	(53550, 2)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49374	(53549, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49376	(53550, 1)	2	1	1	IlGF_like	261293			0	1	species	9606	Homo sapiens	32
49377	(53556, 2)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49378	(53551, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49379	(53552, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49380	(53552, 2)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49381	(53554, 3)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49382	(53553, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49383	(53554, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49384	(53555, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49385	(53556, 1)	2	1	1	IlGF_like	261293			0	1	species	9606	Homo sapiens	32
49387	(53558, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49388	(53557, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
573677	(160645, 9)	11	10	3	ascorbate_peroxidase	260251	COG3474,PTZ00405	271887	0	0	superkingdom	2759	Eukaryota	3
573678	(158299, 1)	7	7	3	COG3474,PTZ00405	271887	ascorbate_peroxidase	260251	0	0	superkingdom	2759	Eukaryota	3
508863	(585795, 2)	3	3	3	DUF1241	191619			0	1	species	9606	Homo sapiens	32
508864	(616157, 1)	3	3	3	DUF1241	191619			0	1	species	9606	Homo sapiens	32
49420	(13292, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
49421	(13293, 1)	1	1	1	IlGF_like	261293			1	1	species	9606	Homo sapiens	32
501620	(470458, 1)	8	4	2	IL5	251045			0	0	superorder	314146	Euarchontoglires	23
117139	(423378, 4)	6	3	2	Arf1_5_like	271875			0	0	superkingdom	2759	Eukaryota	3
127911	(117805, 1)	24	4	1	C4	154924			0	0	no rank	1437010	Boreoeutheria	22
49460	(34893, 1)	2	1	1	somatotropin_like	263483			0	1	species	9606	Homo sapiens	32
647655	(683483, 1)	22	3	1	Methyltransf_24	271798			0	1	species	1877	Micromonospora echinospora	11
434703	(298728, 10)	16	8	2	DEADc	271875			0	0	no rank	131567	cellular organisms	2
579219	(311863, 5)	12	5	1	SDR	271874			0	1	no rank	266835	Mesorhizobium loti MAFF303099	10
579222	(311869, 6)	14	5	1	SDR	271874			0	1	no rank	266835	Mesorhizobium loti MAFF303099	10
333076	(154272, 1)	36	7	7	CMD,COG0599	271493			0	0	no rank	131567	cellular organisms	2
630543	(402117, 2)	2	2	1	Nckap1	204301	Abi_HHR	254450	0	1	species	9606	Homo sapiens	32
573844	(261686, 3)	4	2	2	TOP4c	238111	TOPRIM_TopoIIA	271516	0	0	no rank	33154	Opisthokonta	4
573842	(370796, 2)	4	2	2	TOPRIM_TopoIIA	271516	TOP4c	238111	0	0	no rank	33154	Opisthokonta	4
558984	(496957, 3)	8	3	3	DUF4559	259249	OM_channels	271907	0	0	species	4932	Saccharomyces cerevisiae	14
49592	(47901, 1)	1	1	1	t_SNARE	260219			1	1	species	10116	Rattus norvegicus	31
49593	(47903, 1)	2	1	1	t_SNARE	260219			0	1	species	10116	Rattus norvegicus	31
49594	(47901, 2)	1	1	1	t_SNARE	260219			1	1	species	10116	Rattus norvegicus	31
49595	(47902, 1)	2	1	1	t_SNARE	260219			0	1	species	10116	Rattus norvegicus	31
480930	(48125, 3)	20	10	9	COG1695,Fur_like,HTH_ARSR,MarR,MarR_2,WHTH_GntR	271879			0	0	no rank	131567	cellular organisms	2
623363	(632158, 1)	16	8	2	PBP2_Cbl,PBP2_CysB	271876			0	0	family	543	Enterobacteriaceae	7
67808	(75878, 4)	3	3	2	somatotropin_like	263483	FN3	271942	0	1	species	9606	Homo sapiens	32
273335	(531518, 1)	1	1	1	Pico_P1A	251169	rhv_like	265416	1	1	no rank	12131	Human rhinovirus B14	9
596704	(590925, 1)	4	2	1	COG3494	263737			0	1	no rank	565050	Caulobacter crescentus NA1000	11
579314	(471533, 1)	24	12	1	GLTP	254997			0	1	species	9606	Homo sapiens	32
574096	(574891, 1)	2	1	1	VP4_2	204100			0	1	no rank	12111	Foot-and-mouth disease virus - type A	9
584453	(108641, 2)	8	7	3	RICIN	271783	RIP	249641	0	0	no rank	1437201	Pentapetalae	15
110659	(551456, 1)	3	3	1	GAL4	260169	ZIP_Gal4p-like,ZIP_Hap1	272841	0	1	species	4932	Saccharomyces cerevisiae	14
574126	(619013, 9)	2	1	1	Filo_VP35	145320			0	1	no rank	33727	Marburg virus - Musoke, Kenya, 1980	9
574124	(356477, 8)	2	1	1	Filo_VP35	145320			0	1	no rank	33727	Marburg virus - Musoke, Kenya, 1980	9
574140	(523908, 3)	2	1	1	Bacuni_01323_like	214015			0	1	no rank	411479	Bacteroides uniformis ATCC 8492	11
574144	(523909, 1)	4	1	1	Bacuni_01323_like	214015			0	1	no rank	411479	Bacteroides uniformis ATCC 8492	11
574139	(523909, 4)	2	1	1	Bacuni_01323_like	214015			0	1	no rank	411479	Bacteroides uniformis ATCC 8492	11
532622	(547095, 38)	1	1	1	UBQ	271428	Skp1	271586	1	1	species	9606	Homo sapiens	32
574386	(563190, 2)	4	1	1	ALDH_F18-19_ProA-GPR	264488			0	1	no rank	271848	Burkholderia thailandensis E264	11
597665	(580980, 1)	8	3	3	ALDH-SF,ALDH_F18-19_ProA-GPR	264488			0	0	no rank	131567	cellular organisms	2
592868	(466295, 4)	18	8	1	COG0780	271449			0	0	species	666	Vibrio cholerae	9
50114	(216334, 3)	2	1	1	Pico_P1A	251169	rhv_like	265416	0	1	no rank	12081	Human poliovirus 1 Mahoney	10
50130	(216334, 1)	2	1	1	Pico_P1A	251169			0	1	no rank	12081	Human poliovirus 1 Mahoney	10
50129	(216334, 2)	2	1	1	Pico_P1A	251169			0	1	no rank	12081	Human poliovirus 1 Mahoney	10
122540	(566447, 1)	1	1	1	Thrombin_light	117938	Tryp_SPc	272004	1	1	species	9606	Homo sapiens	32
574549	(528162, 1)	1	1	1	Fusion_gly	249929			1	1	no rank	11208	Simian virus 5 (strain W3)	10
574560	(155830, 3)	3	1	1	Fusion_gly	249929			0	1	no rank	11208	Simian virus 5 (strain W3)	10
574558	(155830, 2)	6	2	1	Fusion_gly	249929			0	0	species	11207	Parainfluenza virus 5	9
50268	(325611, 1)	1	1	1	potato_inhibit	201130			1	1	species	3661	Cucurbita maxima	22
50269	(325612, 1)	1	1	1	potato_inhibit	201130			1	1	species	3661	Cucurbita maxima	22
342036	(615581, 17)	4	4	2	MHC_I	263546	CLECT_NK_receptors_like	271581	0	1	species	9606	Homo sapiens	32
646738	(131483, 6)	13	8	4	CLECT_NK_receptors_like	271581	MHC_I	263546	0	0	superorder	314146	Euarchontoglires	23
342038	(124994, 16)	4	4	2	MHC_I	263546	CLECT_NK_receptors_like	271581	0	1	species	9606	Homo sapiens	32
189678	(237989, 4)	10	5	2	Como_LCP	251179			0	0	genus	12258	Comovirus	8
50339	(60385, 1)	2	1	1	Cohesin_load	255924			0	1	species	562	Escherichia coli	9
386435	(58669, 1)	3	2	2	CSP_CDS	271676			0	0	superkingdom	2	Bacteria	3
50357	(58664, 3)	1	1	1	CSP_CDS	271676			1	1	species	1394	[Bacillus] caldolyticus	10
630179	(661264, 1)	8	2	1	Paramyx_P_V_C	202573			0	1	species	121791	Nipah virus	9
574750	(186656, 1)	80	20	1	TIM_phosphate_binding	271877			0	1	species	316	Pseudomonas stutzeri	11
574760	(398353, 2)	80	20	1	TIM_phosphate_binding	271877			0	1	species	316	Pseudomonas stutzeri	11
574758	(398365, 3)	80	20	1	TIM_phosphate_binding	271877			0	1	species	316	Pseudomonas stutzeri	11
595921	(268652, 2)	15	15	3	Rubrum_tdh	271874	PNTB	260503	0	0	superkingdom	2	Bacteria	3
595922	(127265, 2)	15	15	3	PNTB	260503	Rubrum_tdh	271874	0	0	superkingdom	2	Bacteria	3
595919	(159713, 2)	15	15	3	Rubrum_tdh	271874	PNTB	260503	0	0	superkingdom	2	Bacteria	3
595920	(95008, 1)	15	15	3	PNTB	260503	Rubrum_tdh	271874	0	0	superkingdom	2	Bacteria	3
8412	(27358, 1)	1	1	1	UCR_UQCRX_QCR9	253167	UCR_TM	251620	1	1	species	9913	Bos taurus	30
630174	(649974, 2)	8	2	1	Paramyx_P_V_C	202573			0	1	species	121791	Nipah virus	9
304105	(410144, 1)	1	1	1	Ribosomal_S27	260673	Ribosomal_L7Ae	260522	1	1	species	5911	Tetrahymena thermophila	12
628235	(144512, 1)	31	10	5	IGPD	260369			0	0	no rank	131567	cellular organisms	2
665899	(245113, 4)	108	36	13	HTH_ARSR,HTH_ASNC	271879			0	0	no rank	131567	cellular organisms	2
51906	(51201, 3)	6	3	2	Chorismate_bind	263998			0	0	family	543	Enterobacteriaceae	7
642588	(424572, 5)	90	12	4	DhnA,PRK06852	271877			0	0	no rank	131567	cellular organisms	2
642582	(250950, 4)	90	12	4	DhnA,PRK06852	271877			0	0	no rank	131567	cellular organisms	2
343690	(76354, 6)	20	4	3	ATPS,nt_trans	271408	APSK	271801	0	0	no rank	131567	cellular organisms	2
343704	(146861, 1)	20	4	3	APSK	271801	ATPS,nt_trans	271408	0	0	no rank	131567	cellular organisms	2
50844	(275650, 6)	2	1	1	Ran	271875	RCC1	249843	0	1	species	9606	Homo sapiens	32
50839	(51915, 31)	1	1	1	RCC1	249843	Ran	271875	1	1	species	9606	Homo sapiens	32
50840	(252918, 9)	1	1	1	Ran	271875	RCC1	249843	1	1	species	9606	Homo sapiens	32
50841	(51915, 32)	1	1	1	RCC1	249843	Ran	271875	1	1	species	9606	Homo sapiens	32
50842	(239211, 10)	2	1	1	Ran	271875	RCC1	249843	0	1	species	9606	Homo sapiens	32
50847	(476980, 33)	2	1	1	RCC1	249843	Ran	271875	0	1	species	9606	Homo sapiens	32
50845	(51913, 34)	1	1	1	RCC1	249843	Ran	271875	1	1	species	9606	Homo sapiens	32
330913	(95923, 9)	6	3	1	Transpeptidase	271911			0	1	species	1402	Bacillus licheniformis	10
575193	(557197, 1)	1	1	1	SMC_prok_B	233757			1	1	species	6239	Caenorhabditis elegans	17
575194	(557198, 1)	1	1	1	SMC_prok_B	233757			1	1	species	6239	Caenorhabditis elegans	17
532778	(567374, 1)	1	1	1	Thrombin_light	117938	Tryp_SPc	272004	1	1	species	9606	Homo sapiens	32
575236	(243786, 24)	1	1	1	SH2_SOCS3	265655	PKc_like	271873	1	1	species	10090	Mus musculus	32
575309	(350526, 3)	2	1	1	LIGANc	261674			0	1	no rank	488223	Streptococcus pneumoniae P1031	10
51054	(50800, 2)	2	1	1	CASc	271411	BIR	260148	0	1	species	9606	Homo sapiens	32
538677	(462376, 3)	56	56	2	RPOL9	261421	RNA_pol_B_RPB2	272138	0	0	no rank	33154	Opisthokonta	4
583555	(160217, 7)	14	2	2	S14_ClpP_2	271886			0	1	no rank	36329	Plasmodium falciparum 3D7	11
628823	(640358, 4)	4	1	1	S14_ClpP_2	271886			0	1	no rank	93061	Staphylococcus aureus subsp. aureus NCTC 8325	11
532809	(567387, 1)	1	1	1	Thrombin_light	117938	Tryp_SPc	272004	1	1	species	9606	Homo sapiens	32
575440	(157889, 2)	12	3	3	KdgK	271435			0	0	superkingdom	2	Bacteria	3
51168	(407136, 8)	4	1	1	MHC_II_beta	261560			0	1	species	10090	Mus musculus	32
51164	(148138, 5)	1	1	1	MHC_II_beta	261560	MHC_II_alpha	243283	1	1	species	10090	Mus musculus	32
480518	(465963, 5)	78	21	10	pyrophosphatase	260270			0	0	no rank	131567	cellular organisms	2
624167	(70235, 1)	46	20	12	RPI_A	271472			0	0	no rank	131567	cellular organisms	2
575504	(549771, 1)	1	1	1	Syo1_like	240521	PTZ00069	240254	1	1	no rank	759272	Chaetomium thermophilum var. thermophilum DSM 1495	19
575505	(549770, 1)	1	1	1	PTZ00069	240254	Syo1_like	240521	1	1	no rank	759272	Chaetomium thermophilum var. thermophilum DSM 1495	19
51314	(51180, 2)	3	3	1	BAR_Arfaptin	271734	Rac1_like	271875	0	1	species	9606	Homo sapiens	32
549182	(263112, 46)	5	4	2	Arl1,Rac1_like	271875	BAR_Arfaptin	271734	0	1	species	9606	Homo sapiens	32
549185	(51181, 1)	10	5	3	BAR_Arfaptin	271734			0	1	species	9606	Homo sapiens	32
381202	(353758, 1)	6	3	1	Prion	261307			0	1	species	9606	Homo sapiens	32
640463	(252140, 2)	51	26	11	RIBOc	260306			0	0	no rank	131567	cellular organisms	2
51378	(50825, 1)	16	2	1	Hemerythrin-like	265780			0	1	species	6442	Phascolopsis gouldii	17
522163	(416985, 2)	14	14	1	RPOLCX	260672	RNA_pol_B_RPB2	272138	0	0	species	4932	Saccharomyces cerevisiae	14
51398	(52244, 2)	1	1	1	RNA_pol_N	242042	RNA_pol_B_RPB2	272138	1	1	species	4932	Saccharomyces cerevisiae	14
51402	(52242, 3)	1	1	1	RPOL9	261421	RNA_pol_B_RPB2	272138	1	1	species	4932	Saccharomyces cerevisiae	14
51416	(52242, 1)	1	1	1	RPOL9	261421	RNAP_II_Rpb1_C	142634	1	1	species	4932	Saccharomyces cerevisiae	14
522205	(52246, 1)	14	14	1	RPOLCX	260672	RNAP_II_RPB3	264356	0	0	species	4932	Saccharomyces cerevisiae	14
51434	(52244, 1)	1	1	1	RNA_pol_N	242042	RNAP_II_RPB3	264356	1	1	species	4932	Saccharomyces cerevisiae	14
575921	(246221, 1)	11	8	2	RPA3	271679	RPA2_DBD_D		0	0	no rank	33154	Opisthokonta	4
575922	(348876, 2)	11	8	2	RPA2_DBD_D	271679	RPA3		0	0	no rank	33154	Opisthokonta	4
51489	(56301, 1)	4	2	1	HATPase_c	260175			0	1	species	2336	Thermotoga maritima	9
575814	(539200, 4)	2	1	1	FN3	271942			0	1	species	9606	Homo sapiens	32
575823	(180888, 8)	72	19	11	ACT,ACT_AK-LysC-DapG-like_2,ACT_AK-like_2,ACT_AK1-AT_1,ACT_AK1-AT_2,ACT_AKi-HSDH-ThrA-like_1,ACT_AKii-LysC-BS-like_1,ACT_AKiii-LysC-EC_2,ACT_AKiii-YclM-BS_1,ACT_Bt0572_2,ACT_GcvR_1	271654	ACT,ACT_AK-like_2,ACT_AK1-AT_1,ACT_AK1-AT_2,ACT_AKi-HSDH-ThrA-like_1,ACT_AKiii-LysC-EC_2,ACT_AKiii-YclM-BS_1		0	0	no rank	131567	cellular organisms	2
621426	(305489, 5)	188	49	33	ACT,ACT_1ZPV,ACT_3PGDH,ACT_3PGDH-xct,ACT_7,ACT_AHAS,ACT_AK-LysC-DapG-like_2,ACT_AK-like_2,ACT_AK1-AT_1,ACT_AK1-AT_2,ACT_AKi-HSDH-ThrA-like_1,ACT_AKii-LysC-BS-like_1,ACT_AKiii-LysC-EC_2,ACT_AKiii-YclM-BS_1,ACT_Bt0572_1,ACT_Bt0572_2,ACT_CM-PDT,ACT_F4HF-DF,ACT_GcvR_1,ACT_PSP_1,ACT_PSP_2,ACT_TyrR	271654	ACT_AK-LysC-DapG-like_2,ACT_AKii-LysC-BS-like_1,ACT_Bt0572_1,ACT_Bt0572_2,ACT_GcvR_2,ACT_PSP_1,ACT_PSP_2		0	0	no rank	131567	cellular organisms	2
575842	(22392, 9)	6	3	2	Urease_alpha	271457			0	0	tribe	163735	Phaseoleae	21
51578	(73290, 1)	4	1	1	Ebola_HIV-1-like_HR1-HR2	261496			0	1	species	11676	Human immunodeficiency virus 1	8
388643	(155412, 3)	38	15	3	TPP_enzyme_M	271677	TPP_PYR_POX_like	264357	0	0	phylum	1224	Proteobacteria	4
51585	(73291, 2)	2	1	1	Ebola_HIV-1-like_HR1-HR2	261496			0	1	species	11676	Human immunodeficiency virus 1	8
51584	(73291, 1)	2	1	1	Ebola_HIV-1-like_HR1-HR2	261496			0	1	species	11676	Human immunodeficiency virus 1	8
494436	(376094, 1)	42	19	6	PBP2_BenM_CatM_CatR,PBP2_CbnR,PBP2_OxyR	271876			0	0	superkingdom	2	Bacteria	3
575911	(663596, 2)	14	5	1	PRK10904	271798			0	1	no rank	83333	Escherichia coli K-12	10
51607	(433991, 2)	1	1	1	RNA_pol_N	242042	RNA_pol_B_RPB2	272138	1	1	species	4932	Saccharomyces cerevisiae	14
575915	(663584, 1)	14	5	1	PRK10904	271798			0	1	no rank	83333	Escherichia coli K-12	10
575919	(31574, 3)	4	3	2	RPA2_DBD_D	271679	RPA1_DBD_C		0	0	no rank	33154	Opisthokonta	4
51643	(433991, 1)	1	1	1	RNA_pol_N	242042	RNAP_II_RPB3	264356	1	1	species	4932	Saccharomyces cerevisiae	14
575943	(538573, 22)	1	1	1	EFh	271644	KCNQ_channel	252008	1	1	species	9606	Homo sapiens	32
575946	(561146, 2)	1	1	1	KCNQ_channel	252008	EFh	271644	1	1	species	9606	Homo sapiens	32
95993	(96254, 1)	1	1	1	Aurora-A_bind	192198	STKc_Aurora-A	271873	1	1	species	9606	Homo sapiens	32
493767	(520551, 20)	5	5	4	UBCc	271427	Ubiquitin	271428	0	1	species	9606	Homo sapiens	32
576022	(567748, 2)	1	1	1	CoxIIa	203853	ba3-like_Oxidase_I	271455	1	1	no rank	300852	Thermus thermophilus HB8	10
576029	(567748, 1)	1	1	1	CoxIIa	203853	COX2-transmemb	255195	1	1	no rank	300852	Thermus thermophilus HB8	10
376703	(307878, 1)	25	24	2	PLN02524,SAM_decarbox	261659	SAM_decarbox		0	0	superkingdom	2759	Eukaryota	3
82155	(300043, 2)	14	7	1	SAM_decarbox	261659			0	1	species	9606	Homo sapiens	32
576040	(567754, 2)	1	1	1	CoxIIa	203853	ba3-like_Oxidase_I	271455	1	1	no rank	300852	Thermus thermophilus HB8	10
211325	(124256, 1)	20	10	5	DHH	250564			0	0	no rank	131567	cellular organisms	2
51821	(51156, 1)	4	2	1	Hsp33	260288			0	1	species	562	Escherichia coli	9
51846	(392337, 1)	1	1	1	SAM_decarbox	261659			1	1	species	9606	Homo sapiens	32
532932	(562946, 1)	1	1	1	SERPIN	260211	alpha-1-antitrypsin_like		1	1	species	9606	Homo sapiens	32
51899	(31376, 5)	6	4	3	Chorismate_bind	263998	GATase1_Anthranilate_Synthase	271410	0	0	no rank	131567	cellular organisms	2
465845	(52465, 2)	12	7	4	GATase1_Anthranilate_Synthase	271410	Chorismate_bind	263998	0	0	no rank	131567	cellular organisms	2
51901	(52462, 4)	5	3	2	Anth_synt_I_N	252755	GATase1_Anthranilate_Synthase	271410	0	0	family	543	Enterobacteriaceae	7
51902	(51200, 1)	5	3	2	GATase1_Anthranilate_Synthase	271410	Anth_synt_I_N	252755	0	0	family	543	Enterobacteriaceae	7
51897	(51208, 3)	1	1	1	GATase1_Anthranilate_Synthase	271410	Chorismate_bind	263998	1	1	species	615	Serratia marcescens	9
51898	(51197, 6)	1	1	1	Chorismate_bind	263998	GATase1_Anthranilate_Synthase	271410	1	1	species	615	Serratia marcescens	9
51939	(60857, 11)	3	2	1	ARM	272164	Cadherin_C	250323	0	1	species	10090	Mus musculus	32
51922	(51520, 2)	1	1	1	Cadherin_C	250323	ARM	272164	1	1	species	10090	Mus musculus	32
51925	(51209, 26)	1	1	1	ARM	272164			1	1	species	10090	Mus musculus	32
51945	(60857, 10)	4	2	1	ARM	272164	Cadherin_C	250323	0	1	species	10090	Mus musculus	32
51930	(51520, 1)	2	1	1	Cadherin_C	250323	ARM	272164	0	1	species	10090	Mus musculus	32
51949	(75081, 11)	2	1	1	ARM	272164	Cadherin_C	250323	0	1	species	10090	Mus musculus	32
51934	(51520, 3)	1	1	1	Cadherin_C	250323	ARM	272164	1	1	species	10090	Mus musculus	32
51937	(75081, 26)	1	1	1	ARM	272164			1	1	species	10090	Mus musculus	32
51938	(51522, 7)	1	1	1	ARM	272164			1	1	species	10090	Mus musculus	32
51940	(51526, 3)	1	1	1	Cadherin_C	250323	ARM	272164	1	1	species	10090	Mus musculus	32
51946	(51526, 2)	2	1	1	Cadherin_C	250323	ARM	272164	0	1	species	10090	Mus musculus	32
51947	(400984, 9)	4	2	1	ARM	272164	Cadherin_C	250323	0	1	species	10090	Mus musculus	32
51950	(51526, 4)	1	1	1	Cadherin_C	250323	ARM	272164	1	1	species	10090	Mus musculus	32
